title,video_id
Why Super Glue Is Perfect For Gluing Skin,Ni82f1-cAXg
Why Is MIT Making Robot Insects?,H6q6pYZ9Fho
Why Don’t Railroads Need Expansion Joints?,Rdj5-6t6QI8
The Man Who Took LSD and Changed The World,zaXKQ70q4KQ
This Musical Instrument Took Eons To Make,rjXZzB5bUAo
34 Years Of Strandbeest Evolution,IFaAjR_RRJs
You're Probably Wrong About Rainbows,24GfgNtnjXc
How Dishwashers Actually Work,NKG0pRwTC5A
What Actually Happened To Amelia Earhart?,zTDFhWWPZ4Q
The Most Important Material Ever Made,2oDXbFcHliM
"On These Questions, Smarter People Do Worse",zB_OApdxcno
The Closest We’ve Come to a Theory of Everything,Q10_srZ-pbs
We Might Find Alien Life In 2241 Days,DJO_9auJhJQ
"People said this experiment was impossible, so I tried it - Thermite Part 1",cUBz04LlLVk
I built a QR code with my bare hands to see how it works,w5ebcowAJD8
Exposing The Flaw In Our Phone System,wVyu7NB7W6Y
What Everyone Gets Wrong About Planes,vjDYfvPW4mA
Why Democracy Is Mathematically Impossible,qf7ws2DF-zk
These Illusions Fool Almost Everyone,Sn07AMCfaAI
The Real Reason Robots Shouldn’t Look Like Humans | Supercut,eLVAMG_3fLg
Why People Prefer More Pain,v4r71kEdYME
What Jumping Spiders Teach Us About Color,nfAqTSjMBJk
The Terrifying Real Science Of Avalanches,Zce-V0YVzeI
Something Strange Happens When You Follow Einstein's Math,6akmv1bsz1M
Why is this number everywhere?,d6iQrh2TK98
How Japanese Masters Turn Sand Into Swords,Tt6WQYtefXA
The Oldest Unsolved Problem in Math,Zrv1EDIqHkY
The Trillion Dollar Equation,A5w-dEgIU1M
Why It Was Almost Impossible to Make the Blue LED,AF8d72mA41M
The Rainiest Place On Earth,lGJEihgN4OU
Do People Understand The Scale Of The Universe?,fG8SwAFQFuU
"What Game Theory Reveals About Life, The Universe, and Everything",mScpHTIi-kM
How To Earthquake-Proof A House,Q51-gLL_MRM
The SAT Question Everyone Got Wrong,FUHkTs-Ipfg
The Surprising Genius of Sewing Machines,RQYuyHNLPTQ
What The Longest Study On Happiness Reveals,vSQjk9jKarg
How Do Night Vision Goggles Work? (There's 3 types),UAeJHAFjwPM
The Problem With Science Communication,czjisEGe5Cw
How One Line in the Oldest Math Text Hinted at Hidden Universes,lFlu60qs7_4
The Man Who Killed Millions and Saved Billions (Clean Version),QQkmJI63ykI
Pushing The Limits Of Extreme Breath-Holding,Is2Lip1cJUc
How Humanity Almost Destroyed Itself,ILgSesWMUEI
The Insane Math Of Knot Theory,8DBhTXM_Br4
Should Airships Make A Comeback?,ZjBgEkbnX2I
I Took an IQ Test to Find Out What it Actually Measures,FkKPsLxgpuY
The Real Story of Oppenheimer,Xzv84ZdtlE0
The Hidden Science of Fireworks,lfkjm2YRG-Q
The Most Misunderstood Concept in Physics,DxL2HoqLbyA
I Vacuum Venom from the World's Deadliest Spider,6bgNm9l_3qU
Something Strange Happens When You Keep Squaring,tRaq4aYPzCc
The Fastest Maze-Solving Competition On Earth,ZMQbHMgK2rw
Why The First Computers Were Made Out Of Light Bulbs,FU_YFpfDqqA
How NASA Reinvented The Wheel,vSNtifE0Z2Q
Getting Buried In Concrete To Explain How It Works,rWVAzS5duAs
How Quantum Computers Break The Internet... Starting Now,-UrdExQW0cs
World's Strongest Magnet!,g0amdIcZt5I
The Most Controversial Problem in Philosophy,XeSu9fBJ2sI
The Stickiest *Non-Sticky* Substance,vS0TuIPoeBs
The Science Behind Dogs' Incredible Sense Of Smell,TILjzuBGkRc
Testing the US Military’s Worst Idea,J_n1FZaKzF8
How To Measure The Tiniest Forces In The Universe,pXoZQsZP2PY
Inside The Navy's Indoor Ocean,pir_muTzYM8
The world depends on a collection of strange items. They're not cheap,esQyYGezS7c
What Happens If A Star Explodes Near The Earth?,evUfG3lrk5U
The Most Important Algorithm Of All Time,nmgFG7PUHfo
How Dangerous is a Penny Dropped From a Skyscraper?,16Ci_2bN_zc
World's Highest Jumping Robot,daaDuC1kbds
The 4 things it takes to be an expert,5eW6Eagr9XA
The Man Who Killed Millions and Saved Billions,EvknN89JoWo
The Riddle That Seems Impossible Even If You Know The Answer,iSNsgj1OCLA
The Absurd Search For Dark Matter,6etTERFUlUI
How did they actually take this picture? (Very Long Baseline Interferometry),Q1bSDnuIPbo
How Electricity Actually Works,oI_X2cMHNe0
The Man Who Accidentally Killed The Most People In History,IV3dnLzthDA
How Horses Save Humans From Snakebites,7ziWrneMYss
Future Computers Will Be Radically Different (Analog Computing),GVsUOuSjvcg
The Most Powerful Computers You've Never Heard Of,IgF3OX8nT0w
The Snowflake Myth,ao2Jfm35XeE
The Big Misconception About Electricity,bHIhgxav9LY
How Imaginary Numbers Were Invented,cUzklzVXJwo
I Rented A Helicopter To Settle A Physics Debate,q-_7y0WUnW4
"A Robot That Walks, Flies, Skateboards, Slacklines",H1_OpWiyijU
How They Caught The Golden State Killer,KT18KJouHWg
How Hidden Technology Transformed Bowling,aFPJf-wKTd0
The Universe is Hostile to Computers,AaZ_RSt0KP8
Clickbait is Unreasonably Effective,S2xHZPH5Sng
The Genius of 3D Printed Rockets,kz165f1g8-E
The Simplest Math Problem No One Can Solve - Collatz Conjecture,094y1Z2wpJg
Why You Should Want Driverless Cars On Roads Now,yjztvddhZmI
The Biggest Myth In Education,rhgwIhB58PA
"A Physics Prof Bet Me $10,000 I'm Wrong",yCsgoLc_fzI
The Longest-Running Evolution Experiment,w4sLAQvEH-M
Risking My Life To Settle A Physics Debate,jyQwgBAaBag
Math's Fundamental Flaw,HeQX2HjkcNo
How An Infinite Hotel Ran Out Of Room,OxGsU8oIWjY
This Unstoppable Robot Could Save Your Life,qevIIQHrJZg
The Surprising Secret of Synchronization,t-_VPRCtiUg
This is why we can't have nice things,j5v8D-alAKE
The Discovery That Transformed Pi,gMlf1ELvRzc
Why Robots That Bend Are Better,058hRtaCWC0
I Asked Bill Gates What's The Next Crisis?,Grv1RJkdyqI
The Explosive Element That Changed The World,YMDJA4UvXLA
The Illusion Only Some People Can See,dBap_Lp-0oc
These are the asteroids to worry about,4Wrc4fHSCpw
Why No One Has Measured The Speed Of Light,pTn6Ewhb27k
What Actually Expands In An Expanding Universe?,9DrBQg_n2Uo
How One Supernova Measured The Universe,ljoeOLuX6Z4
How Gravity Actually Works,XRr1kaXKBsU
The Infinite Pattern That Never Repeats,48sCx-wBs34
How Kodak Exposed Nuclear Testing,7pSqk-XV2QM
Is Success Luck or Hard Work?,3LopI4YeC4I
Is Dust Mostly Dead Skin?,jn5M48MVWyg
Half the universe was missing... until now,Kp_kqamkYpw
The Launch of Perseverance to Mars,m85qDk849_o
Turbulent Flow is MORE Awesome Than Laminar Flow,5zI9sG3pjVU
Parallel Worlds Probably Exist. Here’s Why,kTXTPe3wahc
This equation will change how you see the world (the logistic map),ovJcsL7vyrk
Why New Years Resolutions Fail & How To Succeed,Pm9CQn07OjU
How to Slow Aging (and even reverse it),QRt7LjqJ45k
Chaos: The Science of the Butterfly Effect,fDek6cYijxI
3 Perplexing Physics Problems,K-Fc08X56R0
Why Trees Are Out to Get You,-PWMQR59M68
Engineering with Origami,ThwuT3_AG6w
The Bizarre Behavior of Rotating Bodies,1VPfZ_XzisU
Does Planet 9 Exist?,pe83T9hISoY
Flamethrower vs Aerogel,qnOoDE9rj6w
Making Liquid Nitrogen From Scratch!,dCXkaQa53QQ
Why the Future of Cars is Electric,GATuMWAFBUA
Why Apollo Astronauts Trained in Nuclear Bomb Craters,E7uGvsT_nnM
How Cod Saved the Vikings,BtCNBh0AsWM
I Waterproofed Myself With Aerogel!,GcdB5bFwio4
Can You Swim in Shade Balls?,BZbChKzedEk
World's Lightest Solid!,AeJ9q45PfD0
My Video Went Viral. Here's Why,fHsa9DqmId8
"Why Are 96,000,000 Black Balls on This Reservoir?",uxPdPpi5W4o
Magnetic Micro-Robots,N7lXymxsdhw
Three Awesome High School Science Projects,q3kSW633bsk
First Image of a Black Hole!,S_GVbuddri8
How to Understand What Black Holes Look Like,zUyH3XhpLTo
How Was Video Invented?,rjDX5ItsOnQ
Can Humans Sense Magnetic Fields?,dg3pza4y2ws
Why Machines That Bend Are Better,97t7Xj_iBv0
Microwaving Grapes Makes Plasma,wCrtk-pyP0I
Do Salt Lamps Work?,ZQ--scjcAZ4
The Inverse Leidenfrost Effect,M2CMH57hXmY
Spinning Black Holes,fu3645D4ZlI
The Best Test of General Relativity (by 2 Misplaced Satellites),aKwJayXTZUs
How Ultrasound Can Deactivate Parts of the Brain,qQhUxd82Rr0
Five Firsts for Mars InSight,u3FB2SuKFfI
"The kg is dead, long live the kg",c_e1wITe_ig
Drinking in ZERO-G! (and other challenges of a trip to Mars),SAQ-iIJkLzA
What Actually Causes Dandruff?,TIe2oerd25c
Why Boredom is Good For You,LKPwKFigF8U
This Toy Can Open Any Garage,CNodxp9Jy4A
How UV Causes Cancer and Aging,Cf7Ar3nEUmw
Is Our Food Becoming Less Nutritious?,Yl_K2Ata6XY
Can You Overdose on Vitamins?,AY6Bg4GzCGs
The World in UV,V9K6gjR07Po
My Life Story,S1tFT4smd6E
Why Einstein Thought Nuclear Weapons Were Impossible,HD3k1hgbUXQ
The Threat of AI Weapons,XAgXwUwQoPA
This Particle Breaks Time Symmetry,yArprk0q9eE
World's First Car!,DL_mJeb6O04
Your Body's Molecular Machines,X_tYrnv_o6A
Neutron Star Merger Gravitational Waves and Gamma Rays,EAyk2OsKvtU
Schlieren Imaging in Color!,K7pQsR8WFSo
What it’s like to watch a Total Solar Eclipse,G10m2ZZRH4U
How We're Redefining the kg,Oo0jm1PPRuo
Sandwich Bag Fire Starter,kvARvzMErnk
World's Heaviest Weight,_k9egfWvb7Y
Mars 2020: Nasa's Next Mission To Mars,iZCRFRgSgas
Is America Actually Metric?,SmSJXC6_qQ8
The Sun Sneeze Gene,e69XZJ9DEj0
4 Revolutionary Riddles Resolved!,72DCj3BztG4
4 Revolutionary Riddles,HgCXdNhVC1Q
The Bayesian Trap,R13BD8qKeTg
The Sun Sneeze Gene,e69XZJ9DEj0
4 Revolutionary Riddles Resolved!,72DCj3BztG4
4 Revolutionary Riddles,HgCXdNhVC1Q
The Bayesian Trap,R13BD8qKeTg
Does Water Swirl the Other Way in the Southern Hemisphere?,mXaad0rsV38
The Science of Thinking,UBVV8pch1dM
Electromagnetic Levitation Quadcopter,pCON4zfMzjU
The Real Moral Dilemma of Self-Driving Cars,WBjY3QGNdAw
The Absurdity of Detecting Gravitational Waves,iphcyNWFD10
Post-Truth: Why Facts Don't Matter Anymore,dvk2PQNcg8w
Indestructible Coating?!,DWkYRh6OXy8
What the Fahrenheit?!,LgrXd0NM2y8
Is This What Quantum Mechanics Looks Like?,WIyTZDHuarQ
Why Metals Spontaneously Fuse Together In Space,Y2nQ8isf55s
The Best and Worst Prediction in Science,g20JZ2HNZaw
Is Most Published Research Wrong?,42QuXLucH3Q
The Illusion of Truth,cebFWOlx848
Stringless Yo-Yo!,-i0InwW0V9k
Celsius Made His Thermometer Upside Down,rjht4oAByCI
Inside the Svalbard Seed Vault,2_OEsf-1qgY
Svalbard - The Northernmost Town on Earth,5NhIRwCq428
Science of Laser Hair Removal in SLOW MOTION,S20-1_XqVPM
Why Anecdotes Trump Data,s7MTM4BKZ_E
These Liquids Look Alive!,CNQf9vZqv7k
What Exactly is the Present?,K4vyRvMASPU
Why Life Seems to Speed Up as We Age,aIx2N-viNwY
How Long Will You Live?,_dDqFB-PjWg
Snatoms! The Magnetic Molecular Modeling Kit,He30D8M5fNc
The Brightest Part of a Shadow is in the Middle,y9c8oZ49pFc
Is Glass a Liquid?,c6wuh0NRG1s
The Science of Six Degrees of Separation,TcxZSmzPw8k
Our Greatest Delusion,EKR-HydGohQ
Evolutionarily Stable Strategies ft. Richard Dawkins,mUxt--mMjwA
How to Launch a Nuclear Missile,knDIENvBTgw
Backspin Basketball Flies Off Dam,2OSrvzNW9FE
Should This Lake Exist?,-OqrZG-EBaQ
Chernobyl - What It's Like Today,9DWnjcSo9J0
Uranium: Twisting the Dragon's Tail,cO57Zm-WNmg
Ice Spikes Explained,5RLQ9WMP2Es
What I Wish I Knew When I Was Younger,YMPzDiraNnA
Beaker Ball Balance Problem,QD3hbVG1yxM
How Do Chameleons Change Color?,SQggDnScsvI
An Affordable 3D-Printed Arm,AcLh-aSUdx0
An Astronaut's View of Earth,6YOz9Pxnzho
Do Cell Phones Cause Brain Tumors?,wU5XkhUGzBs
Quantum Entanglement & Spooky Action at a Distance,ZuvK-od647c
Would You Take This Bet?,vBX-KulgJ1o
The Most Radioactive Places on Earth,TRL7o2kPqw0
The Most Persistent Myth,GEmuEWjHr5c
How Were the Pyramids Built?,lotbZQ55SgU
Sparks from Falling Water: Kelvin's Thunderstorm,rv4MjaF_wow
CapitolTV's DISTRICT VOICES - District 5: Electric Sparks From Falling Water,Rwa26CXG1fc
13 Misconceptions About Global Warming,OWXoRSIxyIU
Climate Change is Boring,eNx9tvCrvv8
Explained: 5 Fun Physics Phenomena,jIMihpDmBpY
5 Fun Physics Phenomena,1Xp_imnO6WE
What is NOT Random?,sMb00lz-IfE
How Much Information?,zUDqI9PJpc8
Why Women Are Stripey,BD6h-wDj7bw
Musical Fire Table!,2awbKQ2DLRE
Anti-Gravity Wheel Explained,tLMpdBjA2SU
Anti-Gravity Wheel?,GeyDf4ooPdo
The Most Common Cognitive Bias,vKA4w2O61Xo
Can Silence Actually Drive You Crazy?,mXVGIb3bzHI
Facebook Fraud,oVfHeWTKjag
Will This Go Faster Than Light?,EPsG8td7C5k
We Tagged a Great White Shark!,akIBlq5xAec
How We’re Fooled By Statistics,1tSqSMOyNFE
How a Shark Attack Survivor Invented Cage Diving,_xU3IRbCbyQ
How Special Relativity Makes Magnets Work,1TKSfAkWWN0
Bullet Block Explained!,BLYoyLcdGPc
The Bullet Block Experiment,vWVZ6APXM4w
Slow-Mo Non-Newtonian Fluid on a Speaker,sWu9CyDwuFs
How Does a Transistor Work?,IcrBqCFLHIY
Can We Really Touch Anything?,bKldI-XGHIw
How Does a Quantum Computer Work?,g_IaVepNDT4
Do Aliens Exist?,5JGSqG8OLjE
Why the Sky ISN'T Blue,ro2MmmdARrs
Empty Space is NOT Empty,J3xLuZNKhlY
The Science of Jetpacks and Rockets!,Hx9TwM4Pmhc
Epic Slow-Mo Drum Implosions!,xmYss_hNF4Q
World's Roundest Object!,ZMByI4s-D-Y
Single Photon Interference,GzbKb59my3U
The Original Double Slit Experiment,Iuv6hY6zsd0
Why Do Venomous Animals Live In Warm Climates?,myh94hpFmJY
How To Make Colour With Holes,x4I9mmd-2Rc
Heisenberg's Uncertainty Principle Explained,a8FTr2qMutA
Paralysed Rats Made To Walk Again,oPerfpxYJ1U
How To Clean Up Space Junk,6wr_Zw1uGY8
Corn Flour Fireball,uWEp_4fHX4Y
How Trees Bend the Laws of Physics,BickMFHAZR0
What Now For The Higgs Boson?,649iUqrOKuE
Levitating Barbecue! Electromagnetic Induction,txmKr69jGBk
Misconceptions About Falling Objects,aRhkQTQxm4w
Making SOLID Nitrogen!,rM04U5BO3Ug
What's In A Candle Flame?,a7_8Gc_Llr8
How Can Trees Be Taller Than 10m?,qiiFMRYUEQM
Misconceptions About Temperature,vqDbMEdLiCs
How Does A Boomerang Work?,ADJKsLEAOHo
"In high jump, your centre of mass goes under the bar",XBtBdNHBNSI
How Does A Sailboat Actually Work?,M4CQ4T_K8Hw
How Does A Wing Actually Work?,aFO4PBolwFg
Atomic Bonding Song,ljvX-RMv_lw
"Northern Lights From 100,000 ft!",5O-wAYKBBSc
Does a Falling Slinky Defy Gravity?,uiyMuHuCFo4
How Does A Slinky Fall?,mAA613hqqZ0
Gyroscopic Precession,ty9QSiVC2g0
Spinning Disk Trick,h0SZZTBQmEs
Why Are Astronauts Weightless?,iQOHRKKNNLQ
Where Does The Sun Get Its Energy?,Ux33-5k8cjg
What Causes The Northern Lights?,knwiWm4DpvQ
Where Do Trees Get Their Mass?,2KZb2_vcNTg
Spool Trick,Bwf3msm7rqM
Spinning Tube Trick,wQTVcaA3PQw
Are You Lightest In The Morning?,lL2e0rWvjKI
World's Longest Straw,HUmZrtiXDik
The Science of Curveballs,t-3jnOIJg4k
Koala Encounters,m8IGMFr62-Q
What Is The Coastline Paradox?,I_rw-AJqpCM
Candle Trick,1tXPVTIisl0
How To Make Graphene,PifL8bAybyc
What Causes The Phases Of The Moon?,Jip3BbZBpsM
A Human Being Is A Part Of The Whole,UMnQWn1rkAA
Atomic Rant,357_DHp3Nys
Can You Go the Speed of Light?,vVKFBaaL4uM
Physics Nobel Prize 2011 - Brian Schmidt,YHBvOOX3RJQ
Nobel Prize Winner Brian Schmidt - Physics 2011,dMwr0VYuExE
Supersized Slow-Mo Slinky Drop,JsytnJ_pSf8
Make Plasma With Grapes In The Microwave!,RwTjsRt0Fzo
Slinky Drop Answer,eCMmmEEyOO0
Slinky Drop Extended,oKb2tCtpvNU
States of Matter,KCL8zqjXbME
Imploding Drum,p3b9pK-O6cE
What Colour Is Most Attractive?,Jeb3O87iXWI
Chain Drop Answer 2,X-QFAB0gEtE
Impress Her With Nanodiamonds,KzOkuGQC3Rw
What Is Water Made Of?,EJrmR-RGjUM
What Is Chemistry?,CRSDxGtcsxE
Ice Cutting Experiment,qQCVnjGUv24
Does Pressure Melt Ice?,gM3zP72-rJE
Why Is Ice Slippery?,Stx6kLd9dYI
How Does The Earth Spin?,9zso7ChaQXQ
Why Does The Earth Spin?,TQxeutcYP6I
Persistence Of Vision,bcstc1ozczQ
Misconceptions About Heat,hNGJ0WHXMyE
Can You Solve This Shadow Illusion?,liqF6EamiE4
Can You Perceive Acceleration?,YJbKieEC49M
When Is A Bungee Jumper's Acceleration Max?,FhmLBxyX8Dw
Veritasium Bungee Jumps!,lYc7kHXW0xg
Types of Radiation,tYmMtSWPQEI
Radiation vs Radioactive Atoms,sehKAccM8p0
Galileo the Scientific Parrot,UxbeLdXnaGU
What Powers Australia?,rmI_9Hty-Lw
Supercooled Water - Explained!,ph8xusY3GTM
What Are Atoms and Isotopes?,SeDaOigLBTU
Experiments A Cappella,lRbI_vPyOnc
Three Incorrect Laws of Motion,Yf0BN0kq7OU
Is There Gravity In Space?,d57C2drB_wc
Misconceptions About Falling Objects,_mCC-68LyZM
Which Hits The Ground First?,oBdalzRJR5g
Calculating Gravitational Attraction,SN1Q5ru2fI0
Best Film on Newton's Third Law. Ever.,8bTdMmNZm2M
What Is Gravity?,mezkHBPLZ4A
What Forces Are Acting On You?,aJc4DEkSq4I
What is a Force?,GmlMV7bA0TM
Gravity (Scientific Version of John Mayer's Gravity),u7KpH9_I2Dw
Egg Experiment to Demonstrate Inertia,7LGi-Dlb8Vs
I'm Atoms (Scientific Cover of Jason Mraz's I'm Yours),DBjZz0iQrzI
Scientific Notation - Explained!,WwmJ5nMmigQ
Thomson's Plum Pudding Model of the Atom,JUJPyQtoB5E
Atomic Theory,U2g1H5wPmUE
